CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
sustainable_population_desc;Sustainable Population refers to differing controversial proposals individuals, organizations, and governments for a population total for Earth beyond which the the whole population cannot be fully sustained. While each are widely criticized for their own reasons, many proponents cite everything from the Earth's resources, environmental changes, to war, and even religious or political motivations for the figures they give.;;x;;;;;;;;;;;;;;;;
internet_activism;Internet Activism;;x;;;;;;;;;;;;;;;;
internet_activism_desc;Internet Activism refers to the use of online mediums such as social media, instant message, video sharing sites, or more for the purposes of enabling faster and more effective forms of organization by social movements. The end result is usually a much more wide-scale and far-reaching movement with influences from beyond even the nation in which it was organized.;;x;;;;;;;;;;;;;;;;
accelerated_pluralism;Accelerated Pluralism;;x;;;;;;;;;;;;;;;;
accelerated_pluralism_desc;Accelerated Pluralism is the concept of social change being hastened by technological advancement - in particular by technologies like the internet and mass media that leads to the birth of new social movements with even less connection to existing structures, ideologies, and movements.;;x;;;;;;;;;;;;;;;;
material_balance_planning;Material Balance Planning;;x;;;;;;;;;;;;;;;;
material_balance_planned_desc;Material Balance Planning is a concept among planned economies where material supplies are accounted for in non-monetary units and used as a basis to generate outputs and balance inputs - contrasting itself with input-output planning.;;x;;;;;;;;;;;;;;;;
landfill_mining_desc;Landfill mining and reclamation or LFMR, is a process designed to reclaim land used by landfills via the extraction, processing, and sorting of the solid waste materials in them. This has two major benefits - one being the restoration of land for potential future agricultural use and the other being the recovery of several valuable materials that are able to be recycled for future use. ;;x;;;;;;;;;;;;;;;;
jet_pack;SRLD;;x;;;;;;;;;;;;;;;;
jet_pack_desc;Since the jet-pack was first invented by Soviet scientist Alexander Andreev in 1919, it has captured the attention of fellow inventors, militaries, futurists, and artists alike for the possibilities it has presented. However, it is only recently that it has become viable as a practical tool and more than simply a curiosity used for small demonstrations or entertainment. \n\n With recent advances and optimizations to its design, the jet-pack has finally exited from science fiction and into military reality. Already this new 'Small Rocket Lift Device' has found application for use in reconnaissance, amphibious assaults, naval boarding, and to generally increase the maneuverability and adaptability of infantry ground forces.;;x;;;;;;;;;;;;;;;;
modern_anti_ship_missiles;Modern Anti-ship Missiles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_anti_ship_missiles_desc;An anti-ship missile (AShM) is a guided missile that is designed for use against ships and large boats. Most anti-ship missiles are of the sea skimming variety, and many use a combination of inertial guidance and active radar homing. A good number of other anti-ship missiles use infrared homing to follow the heat that is emitted by a ship; it is also possible for anti-ship missiles to be guided by radio command all the way.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_anti_ship_missiles_invention;Very Low-flying Missiles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_anti_ship_missiles_invention_desc;Countries such as Russia are developing or deploying very low-flying missiles (about five meters above sea level) that slowly cruise at a very low level to within a short range of their target and then, at the point when radar detection becomes inevitable, initiate a supersonic, high-agility sprint (potentially with anti-aircraft missile detection and evasion) to close the terminal distance.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_war_bomber;Post-war Heavy Bomber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_war_bomber_desc;After World War II, the name strategic bomber came into use, for aircraft that could carry aircraft ordnances over long distances behind enemy lines. They were supplemented by smaller fighter-bombers with less range and lighter bomb load, for tactical strikes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
postwar_submarine_invention;Submarines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
postwar_submarine_invention;Between 1945 and 1955, the submarine was transformed from a fast surface ship that could hide briefly underwater into a true underwater boat, able to move and fight for weeks on end without ever surfacing. The process began with German U-boats captured by the Allies at the end of World War II. Displaying a number of advanced features that greatly enhanced underwater speed and endurance, such as highly streamlined hulls and snorkels, these boats inspired new thinking in every major navy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_comecon;Comecon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_comecon_desc;The Council for Mutual Economic Assistance was an economic organization from 1949 to 1991 under the leadership of the Soviet Union that comprised the countries of the Eastern Bloc along with a number of socialist states elsewhere in the world. Comecon was the Eastern Bloc's response to the formation in Western Europe of the Marshall Plan and the OEEC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBRD;IBRD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBRD_desc;The IBRD was established with the original mission of financing the reconstruction efforts of war-torn European nations following World War II, with goals shared by the later Marshall Plan. Throughout the remainder of the 1940s and 1950s, the Bank financed projects seeking to dam rivers, generate electricity, and improve access to water and sanitation. At the time of its creation, the IBRD was the only Multilateral Development Bank;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IDA;IDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IDA_desc;The International Development Association is an international financial institution which offers concessional loans and grants to the world's poorest developing countries. It was established in 1960 to complement the existing International Bank for Reconstruction and Development by lending to developing countries which suffer from the lowest gross national income, from troubled creditworthiness, or from the lowest per capita income.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
banking_&_Commerce_Separation;Glass Steagall;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
banking_&_Commerce_Separation_desc;"The separation of investment and retail banking aims to protect the ""utility"" aspects of day-to-day banking from being endangered by losses sustained by higher-risk investment activities (""casino banking""). This can take the form of a two-tier structure in which a company is banned from doing both activities, or enforcing a legal ring-fence between two divisions of a company. The Glass steagall legislation of 1933 restricted affilations between banks and security firms ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
financial_deregulation;Financial deregulation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
financial_deregulation_desc;After the oil price crisis and the end of bretton woods, the financial regualtions were continually relaxed in favour of a free financial market. While it has it's own positive aspects, it makes the  financial system unstable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
market_liquidity;Market liquidity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
market_liquidity_desc;In business, economics or investment, market liquidity is a market's feature whereby an individual or firm can quickly purchase or sell an asset without causing a drastic change in the asset's price. Liquidity is about how big the trade-off is between the speed of the sale and the price it can be sold for. In a liquid market, the trade-off is mild: selling quickly will not reduce the price much;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
capital_globalization;Capital globalization ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
capital_globalization_desc;With the globalization process, capital flows has increased to a volume never seen before. This flows has specially been focused on India and China, and nowadays are a very important factor of the global economic performance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
financial_derivatives;Financial derivates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
financial_derivatives_desc;A derivative is a contract between two or more parties whose value is based on an  underlying financial asset (like a security) or set of assets (like an index). Common underlying instruments include bonds, commodities, currencies, interest rates, market indexes, and stocks. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
crypto_currencies;Cryptocurrency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
crypto_currencies_desc;A cryptocurrency (or crypto currency) is a digital asset designed to work as a medium of exchange that uses strong cryptography to secure financial transactions, control the creation of additional units, and verify the transfer of assets. Cryptocurrencies use decentralized control as opposed to centralized digital currency and central banking systemsThe decentralized control of each cryptocurrency works through distributed ledger technology, typically a blockchain, that serves as a public financial transaction database;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new_financial_regulations;New financial regulations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new_financial_regulations_desc;With the 2008 recession, there has been numerous public figures that has called to bring back and modernize the institutions used after the great recession to regulate the financial markets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
interwar_experience;Interwar Experience;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
interwar_experience_desc;During the interwar period and specially during WW2, there were significant efforts to mobilize the nations resources , with a level of goverment intervention never seen before;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bancor;Bancor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bancor_desc;The bancor was a supranational currency that John Maynard Keynes and E. F. Schumacher conceptualised in the years 1940–1942 and which the United Kingdom proposed to introduce after World War II. The name was inspired by the French banque or ('bank gold'). This newly created supranational currency would then be used in international trade as a unit of account within a multilateral clearing system—the International Clearing Union—which would also have to be founded.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
monetary_interdependance;International currency markets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
monetary_interdependance_desc;With the bretton woods system, it also came the internationalization of banking once again with t¡ the emergence of international banking consortia. Since 1964 various banks had formed international syndicates, and by 1971 over three quarters of the world's largest banks had become shareholders in such syndicates. Multinational banks can and do make huge international transfers of capital not only for investment purposes but also for hedging and speculating against exchange rate fluctuations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End_of_Bretton_Woods;End of Bretton woods;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End_of_Bretton_Woods_desc;With the end of bretton woods and the dismantling and repurpose of it's institutions, the monetary system move away from the anchorred  rates in reference to the dollar to a system based on flexible exchange rates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smithsonian_agreement;Smithsonian agreement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
smithsonian_agreement_desc;The smithsonian agreement can be considered the last-ditch effort to save the bretton woods system. Consisting of an appreciation of the foreign currencies versus the dollar and a pegged dollar at 38$/ounce, it seeked to balance the world financial system as well.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ruble_standard;Ruble standard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ruble_standard_desc;With the victory of the soviet union in the cold war and the rise to the superpower status, combined with the end of rigid planned economics for some market mechanisms, the ruble has replace the dollar as the hegemonic currency.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
monetary_hegemony;Monetary Hegemony ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
monetary_hegemony_desc;Monetary hegemony is an economic and political concept in which a single state has decisive influence over the functions of the international monetary system. The term monetary hegemony appeared in Michael Hudson's Super Imperialism, describing not only an asymmetrical relationship that the US dollar has to the global economy, but the structures of this hegemonic edifice that Hudson felt supported it, namely the International Monetary Fund and the World Bank.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
petro_dollar;Petrodollar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
petro_dollar_desc;The petrodollar is any U.S. dollar paid to oil-exporting countries in exchange for oil. Since the dollar is a global currency, all international transactions are priced in dollarsThat makes their national income dependent on the dollar's value. If it falls, so does their revenue.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
currency_snake;Currency snake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
currency_snake_desc;After the demise of the Bretton Woods, most of the leaders of EC countries agreed in 1972 to maintain stable exchange rates by preventing exchange rate fluctuations of more than +/-2.25% ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fiscal_convervatism;Fiscal conservatism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fiscal_convervatism_desc;Fiscal conservatism is a political and economic philosophy regarding fiscal policy and fiscal responsibility advocating low taxes, reduced government spending and minimal government debt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
deregulation;Deregulation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
deregulation_desc;Deregulation is the reduction or elimination of government power in a particular industry, usually enacted to create more competition within the industry. Over the years the struggle between proponents of regulation and proponents of no government intervention have shifted market conditions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shock_theraphy;Shock theraphy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shock_theraphy_desc;In economics, shock therapy is the sudden release of price and currency controls (economic liberalization), withdrawal of state subsidies, and immediate trade liberalization within a country, usually also including large-scale privatization of previously public-owned assets. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
competitive_devaluation;Competitive devaluation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
competitive_devaluation_desc;Competitive devaluation is a series of sudden currency deprecations between two national currencies as a result of the the two nations making tit-for-tat moves in order to gain an edge in international export markets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dual_exchange_rate;Dual exchange rate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dual_exchange_rate_desc;A dual exchange rate is a setup created by a government where their currency has a fixed official exchange rate and a separate floating rate applied to specified goods, sectors or trading conditions. The floating rate is often market-determined in parallel to the official exchange rate.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new_gold_standard;Gold Standard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new_gold_standard_desc;A return to the gold standard has been proposed  since the end of the bretton woods system, with special support in the US;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_inflation_scenario;Low inflation scenario;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_inflation_scenario_desc;While a common factor in the 20th century, the 21st century has been marked with a very low inflationnn developed nations. While positive in many senses, it makes debt payment harder. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new_development_bank;New Development Bank;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new_development_bank_desc;"The NDB is a multilateral development bank established by the BRICS states. According to the Agreement on the NDB, ""the Bank shall support public or private projects through loans, guarantees, equity participation and other financial instruments.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new_monetary_consensus;New monetary consensus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new_monetary_consensus_desc;With the coming of a multipolar world, we may adjust the economic measures forced to us to better fit our situation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bilateral_treaties;Bilateral treaty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bilateral_treaties_desc;While multilateral treaties were becoming the norm in international politics, the return of national competiton has make billateral treaties more common in the recent years.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
robert_solow;Robert Solow ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
robert_solow_desc;Robert Solow is an American economist whose work on the theory of economic growth culminated in the exogenous growth model named after him. He was awarded the Nobel Memorial Prize in Economic Sciences in 1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nicholas_kaldor;Nicholas Kaldor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nicholas_kaldor_desc;Nicholas Kaldorwas a Cambridge economist in the post-war period. He developed the criteria called Kaldor–Hicks efficiency for welfare comparisons, derived the cobweb model related to prices ,and argued for certain regularities observable in economic growth called Kaldor's growth laws;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
piero_sraffa;Piero Sraffa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
piero_sraffa_desc;Piero Sraffa was an influential Italian economist who served as lecturer of economics at the University of Cambridge. His book Production of Commodities by Means of Commodities is taken as founding the neo-Ricardian school of economics.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
joan_robinson;Joan Robinson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
joan_robinson_desc;Joan Violet Robinson was a British economist well known for her wide-ranging contributions to economic theory. She was a central figure in what became known as post-Keynesian economics. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
harrod_domar_model;Harrod-Domar model ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
harrod_domar_model_desc;The Harrod–Domar model is a Keynesian model of economic growth. It is used in development economics to explain an economy's growth rate in terms of the level of saving and of capital. It suggests that there is no natural reason for an economy to have balanced growth. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
solow_swan_model;Solow-Swan model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
solow_swan_model_desc;The Solow–Swan model is an economic model of long-run economic growth set within the framework of neoclassical economics. It attempts to explain long-run economic growth by looking at capital accumulation, labor or population growth, and increases in productivity, commonly referred to as technological progress;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cambrigde_controversy;Cambrigde Controversy ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cambrigde_controversy_desc;The Cambridge capital controversy,was a dispute between proponents of two differing theoretical and mathematical positions in economics that started in the 1950s and lasted well into the 1960s. The debate concerned the nature and role of capital goods and a critique of the neoclassical vision of aggregate production and distribution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paul_samuelson;Paul Samuelson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paul_samuelson_desc;"Paul Anthony Samuelsonwas an American economist. The first American to win the Nobel Memorial Prize in Economic Sciences , it was stated when awarding the prize in 1970, that he ""has done more than any other contemporary economist to raise the level of scientific analysis in economic theory "". Economic historian Randall E. Parker has called him the ""Father of Modern Economics""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
milton_friedman_desc;Milton Friedman was an American econom Friedman was among the intellectual leaders of the Chicago school of economics, a neoclassical school of economic thought associated with the work of the faculty at the University of Chicago that rejected Keynesianism in favor of monetarism ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
monetarism;Monetarism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
monetarism_desc;Monetarism is a school of thought in monetary economics that emphasizes the role of governments in controlling the amount of money in circulation. Monetarist theory asserts that variations in the money supply have major influences on national output in the short run and on price levels over longer periods.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
israel_kirzner;Israel Meir Kirzner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
israel_kirzner_desc;Israel Meir Kirzner is a British-born American economist closely identified with the Austrian School. Kirzner's research on entrepreneurship economics is also widely recognized. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
murray_rothbard;Murray Rothbard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
murray_rothbard_desc;Murray Newton Rothbard was an American heterodox economist of the Austrian School, historian and a political theorist. Rothbard was the founder and leading theoretician of anarcho-capitalism, a staunch advocate of historical revisionism and a central figure in the 20th-century American libertarian movement.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bussines_cycle_theory;Business cycle theory;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bussines_cycle_theory_desc;The Austrian business cycle theory is an economic theory developed by the Austrian School of economics about how business cycles occur. The theory views business cycles as the consequence of excessive growth in bank credit due to artificially low interest rates set by a central bank or fractional reserve banks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
john_taylor;John Taylor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
john_taylor_desc;John Brian Taylor is a rofessor of Economics at Stanford University. In research published in 1979 and 1980 he developed a model of price and wage setting—called the staggered contract model—which served as an underpinning of a new class of empirical models with rational expectations and sticky prices—sometimes called new Keynesian models.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
joseph_stiglitz;Joseph Stiglitz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
joseph_stiglitz_desc;Joseph  Stiglitz is an American economist . He is a recipient of the Nobel Memorial Prize in Economic Sciences He is known for his support of Georgist public finance theory and for his critical view of the management of globalization, laissez-faire economists and of international institutions such as the International Monetary Fund and the World Bank.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tony_atkinson;Tony Atkinson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tony_atkinson_desc;"Sir Anthony Barnes ""Tony"" Atkinson was a British economist. Atkinson virtually single-handedly established the modern British field of inequality and poverty studies. He worked on inequality and poverty for over four decades.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
public_economics;Public Economics ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
public_economics_desc;Public economics is the study of government policy through the lens of economic efficiency and equity. Public economics builds on the theory of welfare economics and is ultimately used as a tool to improve social welfare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
robert_shiller_desc;Robert J. Shiller is an American economist He has written on economic topics that range from behavioral finance to real estate to risk management, and has been co-organizer of NBER workshops on behavioral finance with Richard Thaler since 1991. Shiller become a recipient of the 2013 Nobel Prize in Economics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
richard_thaler;Richard Thaler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
richard_thaler_desc;Richard H. Thaler is an American economist. Thaler is a theorist in behavioral economics In 2017, he was awarded the Nobel Memorial Prize in Economic Sciences for his contributions on the analysis of individual decision making;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
herbert_simoni;Herbert  Simon ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
herbert_simoni_desc;Herbert Alexander Simon was an American economist, political scientist and cognitive psychologist, whose primary research interest was decision-making within organizations and is best known for the theories of "bounded rationality" and "satisficing". He received the Nobel Prize in Economics in 1978.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vernon_smith_desc;Vernon Smith is an American economist. Smith shared the 2002 Nobel Memorial Prize in Economic Sciences with Daniel Kahneman for his contributions to Behavioral Economics.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
daniel_kahneman;Daniel Kahneman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
daniel_kahneman_desc;Daniel Kahneman is an Israeli-American psychologist and economist notable for his work on the psychology of judgment and decision-making, as well as behavioral economics, for which he was awarded the 2002 Nobel Memorial Prize in Economic . His empirical findings challenge the assumption of human rationality prevailing in modern economic theory. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nugde_theory;Nudge Theory;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nugde_theory_desc;Nudge is a concept in behavioral science, political theory and economics which proposes positive reinforcement and indirect suggestions as ways to influence the behavior and decision making of groups or individuals. Nudging contrasts with other ways to achieve compliance, such as education, legislation or enforcement. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
steve_keen_desc;Steve Keen is an Australian economist and author. He considers himself a post-Keynesian, criticising neoclassical economics as inconsistent, unscientific and empirically unsupported. Hyman Minsky's financial instability hypothesis forms the main basis of his major contribution to economics which mainly concentrates on mathematical modelling and simulation of financial instability.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
michal_kalecki;Michal Kalecki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
michal_kalecki_desc;"Michal Kalecki was a Polish economist. Kalecki has been called ""one of the most distinguished economists of the 20th century"" and ""likely the most original one"". He offered a synthesis that integrated Marxist class analysis and the new literature on oligopoly theory, and his work had a significant influence on both the neo-Marxian and post-Keynesian schools of economic thought.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hyman_mynsky;Hyman Minsky;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hyman_mynsky_desc;Hyman Minsky was an American economist. His research attempted to provide an understanding and explanation of the characteristics of financial crises, which he attributed to swings in a potentially fragile financial system. Minsky is sometimes described as a post-Keynesian economist .The subprime mortgage crisis of 2008 caused a renewed interest in his works, which had largely been ignored.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
luigi_pasinetti;Luigi Pasinetti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
luigi_pasinetti_desc;"Luigi Pasinetti is an Italian economist of the post-Keynesian school. Pasinetti is considered the heir of the ""Cambridge Keynesians"" and a student of Piero Sraffa.  His contributions to economics include developing the analytical foundations of neo-Ricardian economics, including the theory of value and distribution, as well as work in the line of Kaldorian theory of growth and income distribution.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
marc_lavoiei;Marc Lavoie ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
marc_lavoiei_desc;Marc Lavoie is a Canadian professor in economics. He has written a number of books, among which are Post-Keynesian Economics: New Foundations (2014), Introduction to Post-Keynesian Economics (2006), translated into four languages, Foundations of Post-Keynesian Economic Analysis (1992), as well as Monetary Economics: An Integrated Approach to Money, Income, Production and Wealth (2007);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
financial_instability_hypothesis;Financial instability hypothesis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
financial_instability_hypothesis_desc;"Minsky proposed theories linking financial market fragility, in the normal life cycle of an economy, with speculative investment bubbles endogenous to financial markets. ""A fundamental characteristic of our economy,"" Minsky wrote in 1974, ""is that the financial system swings between robustness and fragility and these swings are an integral part of the process that generates business cycles.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abhijit_banerjee;Abhijit Banerjee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abhijit_banerjee_desc;"Abhijit V. Banerjeeis an Indian-American economist Banerjee shared the 2019 Nobel Memorial Prize in Economic Sciences with Esther Duflo and Michael Kremer ""for their experimental approach to alleviating global poverty""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
daron_acemoglu;Daron Acemoglu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
daron_acemoglu_desc;Kamer Daron Acemo?lu is a Turkish-born American economist. He authored Economic Origins of Dictatorship and Democracy (2006) and Why Nations Fail (2012). The latter, an influential book on the role that institutions play in shaping nations' economic outcomes, prompted wide scholarly and media commentary. Described as a centrist, he believes in a regulated market economy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bill_mitchell;Bill Mitchell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bill_mitchell_desc;William Francis Mitchel is a professor of economicsand one of the founding developers of Modern Monetary Theory. Mitchell works to promote active government economic policies and the use of fiscal deficits as a tool to enhance well-being and environmental sustainability.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nicholas_georgescu_rogen;Nicholas Georgescu-Rogen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nicholas_georgescu_rogen_desc ;Nicholas Georgescu-Roegen was a Romanian mathematician, statistician and economist. He is best known today for his 1971 magnum opus The Entropy Law and the Economic Process, in which he argued that all natural resources are irreversibly degraded when put to use in economic activity.Georgescu-Roegen's work was seminal in establishing ecological economics as an independent academic sub-discipline in economics. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
marilyn_waring;Marilyn Waring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
marilyn_waring_desc;Dame Marilyn Joy Waring is a New Zealand public policy scholar, international development consultant, former politician, environmentalist, feminist and a principal founder of feminist economics. She has outspokenly criticised the concept of GDP. Her work has influenced academics, government accounting in a number of countries, and United Nations policies. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new_development_economics;New development economics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new_development_economics_desc;Development economics is a branch of economics which deals with economic aspects of the development process in low income countries. Recent theories revolve around questions about what variables or inputs correlate or affect economic growth the most, and how to advise governments about macroeconomic policies, which include all policies that affect the economy. Education enables countries to adapt the latest technology and creates an environment for new innovations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
institutional_economics;Institutional economics  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
institutional_economics_desc;Institutional economics focuses on understanding the role of the evolutionary process and the role of institutions in shaping economic behaviorInstitutional economics emphasizes a broader study of institutions and views markets as a result of the complex interaction of these various institutions (e.g. individuals, firms, states, social norms).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_monetary_theory;MMT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_monetary_theory_desc;Modern Monetary Theory is a macroeconomic theory and practice that describes the practical uses of fiat currency in a public monopoly from the issuing authority, normally the government's central bank. Effects on employment are used as evidence that a currency monopolist is overly restricting the supply of the financial assets needed to pay taxes and satisfy savings desires.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecological_economics;Ecological economics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecological_economics_desc;Ecological economic is both a transdisciplinary and an interdisciplinary field of academic research addressing the interdependence and coevolution of human economies and natural ecosystems, both intertemporally and spatially.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
feminist_economics;Gender Based Economics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
feminist_economics_desc;Gender Based Economics is the critical study of economics and economies, with a focus on gender-aware and inclusive economic inquiry and policy analysis. Much economic research in this area focuses on topics that have been neglected in the field, such as care work, intimate partner violence, or on economic theories which could be improved through better incorporation of gendered effects and interactions, such as between paid and unpaid sectors of economies.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
